Model,Fold,Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
InceptionResNetV2Model,4,10,0.1354093998670578,0.9760068655014038,0.6918243765830994,0.9415807723999025
InceptionResNetV2Model,4,11,0.0962543040513992,0.9802913665771484,0.4478345513343811,0.9415807723999025
InceptionResNetV2Model,4,12,0.0276890378445386,0.9940016865730286,0.417834997177124,0.9415807723999025
InceptionResNetV2Model,4,13,0.0206141546368598,0.9931448101997375,0.6117436289787292,0.9209622144699096
InceptionResNetV2Model,4,14,0.0278388429433107,0.9957154989242554,0.5532717108726501,0.9415807723999025
InceptionResNetV2Model,4,15,0.0148491505533456,0.9974293112754822,0.5358391404151917,0.9415807723999025
InceptionResNetV2Model,4,16,0.0120508037507534,0.9982861876487732,0.5324307084083557,0.945017158985138
InceptionResNetV2Model,4,17,0.0068473317660391,0.9982861876487732,0.515815794467926,0.945017158985138
InceptionResNetV2Model,4,18,0.0129178240895271,0.9974293112754822,0.5315914154052734,0.9347078800201416
InceptionResNetV2Model,4,19,0.0166854634881019,0.9982861876487732,0.51666659116745,0.938144326210022
InceptionResNetV2Model,4,20,0.0145875671878457,0.999143123626709,0.5192747116088867,0.9553264379501344
InceptionResNetV2Model,5,0,10.062517166137695,0.6778063178062439,3.6790847778320312,0.7457044720649719
InceptionResNetV2Model,5,1,1.6437069177627563,0.8740360140800476,0.3561247885227203,0.938144326210022
InceptionResNetV2Model,5,2,0.4380155503749847,0.9288774728775024,0.1537903398275375,0.9415807723999025
InceptionResNetV2Model,5,3,0.1234922930598259,0.9682947993278505,0.0980848744511604,0.9587628841400146
InceptionResNetV2Model,5,4,0.1137531846761703,0.96315336227417,0.1393792629241943,0.962199330329895
InceptionResNetV2Model,5,5,0.0989331752061843,0.9682947993278505,0.2189496755599975,0.938144326210022
InceptionResNetV2Model,5,6,0.1005255505442619,0.9802913665771484,0.1395949423313141,0.9518900513648988
InceptionResNetV2Model,5,7,0.0239708162844181,0.9905741214752196,0.2149041891098022,0.931271493434906
InceptionResNetV2Model,5,8,0.0631359666585922,0.9811482429504396,0.2003578692674636,0.962199330329895
InceptionResNetV2Model,5,9,0.015478853136301,0.9965724349021912,0.1620295196771621,0.9484536051750184
InceptionResNetV2Model,5,10,0.032619621604681,0.9922879338264464,0.1748016923666,0.9484536051750184
InceptionResNetV2Model,5,11,0.0143036600202322,0.9957154989242554,0.1564370244741439,0.9415807723999025
InceptionResNetV2Model,5,12,0.0861817821860313,0.9828620553016664,0.2432600706815719,0.945017158985138
InceptionResNetV2Model,5,13,0.0306698754429817,0.9940016865730286,0.1267581582069397,0.9553264379501344
InceptionResNetV2Model,5,14,0.011119345203042,0.9965724349021912,0.1515737026929855,0.9553264379501344
InceptionResNetV2Model,5,15,0.024088243022561,0.9940016865730286,0.3757191598415375,0.945017158985138
InceptionResNetV2Model,5,16,0.0200943388044834,0.9940016865730286,0.233408972620964,0.9587628841400146
InceptionResNetV2Model,5,17,0.0128778498619794,0.9957154989242554,0.2087084203958511,0.962199330329895
InceptionResNetV2Model,5,18,0.0136867305263876,0.9974293112754822,0.2495523244142532,0.945017158985138
MobileNetV2Model,1,0,6.452353477478027,0.7667238712310791,1.178428292274475,0.931506872177124
MobileNetV2Model,1,1,0.9039101600646972,0.9176672101020812,0.3296838104724884,0.9383561611175536
MobileNetV2Model,1,2,0.2154409885406494,0.9699828624725342,0.2278645932674408,0.9623287916183472
MobileNetV2Model,1,3,0.0608393624424934,0.9905660152435304,0.173160895705223,0.9589040875434875
MobileNetV2Model,1,4,0.0295520145446062,0.9965694546699524,0.3430702090263366,0.9452054500579834
MobileNetV2Model,1,5,0.0233100801706314,0.9974271059036256,0.13229401409626,0.9726027250289916
MobileNetV2Model,1,6,0.0179967228323221,0.9931389093399048,0.1550009250640869,0.9760273694992064
MobileNetV2Model,1,7,0.0509431473910808,0.9905660152435304,0.2519493997097015,0.9623287916183472
MobileNetV2Model,1,8,0.0171917732805013,0.995711863040924,0.1637759655714035,0.9691780805587769
MobileNetV2Model,1,9,0.0236856769770383,0.9965694546699524,0.2007562965154647,0.9691780805587769
MobileNetV2Model,1,10,0.0079290065914392,0.9991423487663268,0.2948011755943298,0.9589040875434875
MobileNetV2Model,1,11,0.0031537564937025,0.9991423487663268,0.3317437171936035,0.9589040875434875
MobileNetV2Model,1,12,0.0079793995246291,0.9991423487663268,0.2463851869106292,0.9623287916183472
MobileNetV2Model,1,13,0.0115619702264666,0.9982847571372986,0.238065168261528,0.9589040875434875
MobileNetV2Model,1,14,0.0052374079823493,0.9991423487663268,0.2430760413408279,0.9623287916183472
MobileNetV2Model,1,15,0.0080681489780545,0.9991423487663268,0.262182354927063,0.9623287916183472
MobileNetV2Model,1,16,0.011962498538196,0.9982847571372986,0.2421997487545013,0.9623287916183472
MobileNetV2Model,1,17,0.0129225719720125,0.9982847571372986,0.2792483568191528,0.965753436088562
MobileNetV2Model,1,18,0.0058512217365205,0.9974271059036256,0.2746011018753052,0.9623287916183472
MobileNetV2Model,1,19,0.0124805849045515,0.9982847571372986,0.2604420781135559,0.965753436088562
MobileNetV2Model,1,20,0.007444875780493,0.9982847571372986,0.2724134922027588,0.965753436088562
MobileNetV2Model,2,0,6.245466232299805,0.7847341299057007,1.0704257488250732,0.9075342416763306
MobileNetV2Model,2,1,1.4758697748184204,0.8979417085647583,1.8043662309646609,0.91780823469162
MobileNetV2Model,2,2,0.2776501774787903,0.9656946659088136,0.7537366151809692,0.948630154132843
MobileNetV2Model,2,3,0.044887900352478,0.9871355295181274,0.5114445686340332,0.9554794430732728
MobileNetV2Model,2,4,0.017162075266242,0.9965694546699524,0.4770726263523102,0.9691780805587769
MobileNetV2Model,2,5,0.0077404119074344,0.995711863040924,0.7466166615486145,0.952054798603058
MobileNetV2Model,2,6,0.0069003473035991,0.9974271059036256,0.6009077429771423,0.9589040875434875
MobileNetV2Model,2,7,0.0047290427610278,0.9974271059036256,0.5893319249153137,0.9623287916183472
MobileNetV2Model,2,8,0.0001055238317348,1.0,0.5593284964561462,0.9554794430732728
MobileNetV2Model,2,9,3.679920337162912e-05,1.0,0.5639423131942749,0.9589040875434875
MobileNetV2Model,2,10,2.180436604248825e-05,1.0,0.5662763118743896,0.9623287916183472
MobileNetV2Model,2,11,1.860355223470833e-05,1.0,0.5692363977432251,0.9623287916183472
MobileNetV2Model,2,12,1.6638123270240612e-05,1.0,0.5704790949821472,0.9623287916183472
MobileNetV2Model,2,13,1.5540112144663e-05,1.0,0.5707981586456299,0.9623287916183472
MobileNetV2Model,2,14,1.4815171198279131e-05,1.0,0.5718146562576294,0.9623287916183472
MobileNetV2Model,2,15,1.4028762961970642e-05,1.0,0.572361946105957,0.9623287916183472
